点查性能测试,,,,,,,,,,,
opengauss,,,,,,,,,,,
,样本量, 平均响应时间（ms）,最小响应时间（ms）,最大响应时间（ms）,标准差,错误数,吞吐量（per sec）每秒收到地字节数,95th 百分位响应时间,每秒发送地字节,平均收到地信息（kb）,
JDBC Request,15000,19,9,139,6.079128674,0,934.5212136,10.95142047,0,12,
平均QPS,52.63157895,,,,,,,,,,
平均RT,19,,,,,,,,,,
,,,,,,,,,,,
postgres,,,,,,,,,,,
,样本量, 平均响应时间（ms）,最小响应时间（ms）,最大响应时间（ms）,标准差,错误数,吞吐量（per sec）每秒收到地字节数,95th 百分位响应时间,每秒发送地字节,平均收到地信息（kb）,
JDBC Request,15000,44,8,206,8.375223935,0,128.3982743,1.504667277,0,12,
平均QPS,22.72727273,,,,,,,,,,
平均RT,44,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
