query_1,query_2,query_3,query_4,query_5,query_6,query_7,query_8,query_9,query_10
"SELECT * FROM tb25 WHERE age = 393;","SELECT age, SUM(age) FROM tb38 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT name, age FROM tb6 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT AVG(name) FROM tb39 WHERE {column} > 295;","SELECT * FROM tb50 WHERE country = 527;","SELECT longitude, COUNT(*) FROM tb19 GROUP BY {column1} HAVING COUNT(*) > 20;","SELECT name, COUNT(*) FROM tb11 GROUP BY {column1} HAVING COUNT(*) > 342;","SELECT AVG(latitude) FROM tb24 WHERE {column} > 652;","SELECT age, SUM(name) FROM tb42 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT * FROM tb7 WHERE longitude = 493;"
"SELECT age, COUNT(*) FROM tb25 GROUP BY {column1} HAVING COUNT(*) > 878;","SELECT latitude, SUM(age) FROM tb19 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT name, MAX(country) FROM tb22 GROUP BY {column1};","SELECT latitude, COUNT(*) FROM tb26 GROUP BY {column1} HAVING COUNT(*) > 723;","SELECT * FROM tb4 WHERE latitude = 514;","SELECT longitude, latitude FROM tb23 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT country, age FROM tb33 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT COUNT(*) FROM tb35 WHERE name = 194;","SELECT * FROM tb50 WHERE age = 993;","SELECT age, COUNT(*) FROM tb20 GROUP BY {column1} HAVING COUNT(*) > 399;"
"SELECT AVG(name) FROM tb22 WHERE {column} > 973;","SELECT COUNT(*) FROM tb3 WHERE age = 557;","SELECT longitude, SUM(age) FROM tb14 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT COUNT(*) FROM tb33 WHERE longitude = 744;","SELECT COUNT(*) FROM tb2 WHERE country = 836;","SELECT name, COUNT(*) FROM tb9 GROUP BY {column1} HAVING COUNT(*) > 722;","SELECT age, longitude FROM tb16 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT AVG(age) FROM tb29 WHERE {column} > 866;","SELECT COUNT(*) FROM tb27 WHERE country = 4;","SELECT COUNT(*) FROM tb15 WHERE country = 639;"
"SELECT age, MAX(longitude) FROM tb46 GROUP BY {column1};","SELECT COUNT(*) FROM tb43 WHERE name = 246;","SELECT latitude, latitude FROM tb2 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT name, COUNT(*) FROM tb21 GROUP BY {column1} HAVING COUNT(*) > 774;","SELECT age, latitude FROM tb7 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT age, longitude FROM tb50 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT age, COUNT(*) FROM tb30 GROUP BY {column1} HAVING COUNT(*) > 625;","SELECT latitude, MAX(age) FROM tb21 GROUP BY {column1};","SELECT AVG(name) FROM tb31 WHERE {column} > 475;","SELECT AVG(latitude) FROM tb23 WHERE {column} > 964;"
"SELECT latitude, MAX(age) FROM tb49 GROUP BY {column1};","SELECT * FROM tb5 WHERE longitude = 297;","SELECT country, country FROM tb16 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT latitude, latitude FROM tb42 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT latitude, COUNT(*) FROM tb50 GROUP BY {column1} HAVING COUNT(*) > 615;","SELECT latitude, SUM(country) FROM tb30 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT * FROM tb37 WHERE country = 646;","SELECT COUNT(*) FROM tb38 WHERE name = 92;","SELECT AVG(latitude) FROM tb38 WHERE {column} > 85;","SELECT longitude, longitude FROM tb10 WHERE {column1} > 513 AND {column2} < {value};"
"SELECT AVG(country) FROM tb34 WHERE {column} > 848;","SELECT * FROM tb22 WHERE age = 318;","SELECT latitude, COUNT(*) FROM tb21 GROUP BY {column1} HAVING COUNT(*) > 910;","SELECT * FROM tb41 WHERE country = 89;","SELECT COUNT(*) FROM tb1 WHERE latitude = 177;","SELECT * FROM tb47 WHERE country = 172;","SELECT * FROM tb13 WHERE country = 409;","SELECT name, MAX(age) FROM tb14 GROUP BY {column1};","SELECT COUNT(*) FROM tb44 WHERE country = 227;","SELECT name, latitude FROM tb36 WHERE {column1} > 786 AND {column2} < {value};"
"SELECT AVG(country) FROM tb43 WHERE {column} > 80;","SELECT age, MAX(longitude) FROM tb37 GROUP BY {column1};","SELECT longitude, longitude FROM tb3 WHERE {column1} > 609 AND {column2} < {value};","SELECT name, SUM(longitude) FROM tb12 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT name, SUM(country) FROM tb6 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT name, COUNT(*) FROM tb26 GROUP BY {column1} HAVING COUNT(*) > 591;","SELECT age, COUNT(*) FROM tb45 GROUP BY {column1} HAVING COUNT(*) > 373;","SELECT country, COUNT(*) FROM tb6 GROUP BY {column1} HAVING COUNT(*) > 416;","SELECT COUNT(*) FROM tb24 WHERE country = 428;","SELECT * FROM tb34 WHERE longitude = 854;"
"SELECT longitude, COUNT(*) FROM tb16 GROUP BY {column1} HAVING COUNT(*) > 331;","SELECT name, MAX(country) FROM tb3 GROUP BY {column1};","SELECT latitude, MAX(latitude) FROM tb40 GROUP BY {column1};","SELECT latitude, longitude FROM tb27 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT latitude, age FROM tb16 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT COUNT(*) FROM tb34 WHERE country = 228;","SELECT COUNT(*) FROM tb3 WHERE latitude = 458;","SELECT latitude, COUNT(*) FROM tb14 GROUP BY {column1} HAVING COUNT(*) > 329;","SELECT latitude, SUM(longitude) FROM tb50 GROUP BY {column1} ORDER BY SUM({column2}) DESC;","SELECT COUNT(*) FROM tb43 WHERE latitude = 68;"
"SELECT COUNT(*) FROM tb4 WHERE longitude = 800;","SELECT COUNT(*) FROM tb26 WHERE latitude = 311;","SELECT COUNT(*) FROM tb6 WHERE country = 807;","SELECT latitude, longitude FROM tb45 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT COUNT(*) FROM tb13 WHERE age = 464;","SELECT AVG(age) FROM tb40 WHERE {column} > 882;","SELECT age, country FROM tb10 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT country, latitude FROM tb4 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT latitude, name FROM tb46 WHERE {column1} > 304 AND {column2} < {value};","SELECT * FROM tb48 WHERE country = 975;"
"SELECT longitude, age FROM tb14 WHERE {column1} > 664 AND {column2} < {value};","SELECT country, COUNT(*) FROM tb46 GROUP BY {column1} HAVING COUNT(*) > 401;","SELECT COUNT(*) FROM tb20 WHERE longitude = 289;","SELECT * FROM tb23 WHERE country = 98;","SELECT * FROM tb48 WHERE age = 996;","SELECT country, MAX(country) FROM tb44 GROUP BY {column1};","SELECT AVG(name) FROM tb44 WHERE {column} > 67;","SELECT age, longitude FROM tb45 WHERE {column1} > 801 AND {column2} < {value};","SELECT name, longitude FROM tb25 GROUP BY {column1} ORDER BY {column2} DESC;","SELECT age, MAX(latitude) FROM tb49 GROUP BY {column1};"
